source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,293,1780934219.2067862,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,294,1780934220.0611427,8.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,295,1780934221.2319746,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,296,1780934221.6936076,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,297,1780934222.2538762,3.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,298,1780934223.9224818,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,299,1780934224.3325024,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,300,1780934224.8996048,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,301,1780934225.3559263,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,302,1780934226.3049917,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,303,1780934226.6505377,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,304,1780934227.151962,3.125
tensorboard,baseline,mean_reward,rewards/train/score/mean,305,1780934227.8054538,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,306,1780934228.498657,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,307,1780934228.9802752,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,308,1780934230.643805,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,309,1780934231.206074,2.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,310,1780934231.7301953,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,311,1780934232.091654,5.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,312,1780934232.5071554,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,313,1780934234.1733544,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,314,1780934234.5814455,6.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,315,1780934235.2904737,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,316,1780934235.8105955,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,317,1780934236.1715088,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,318,1780934236.4658363,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,319,1780934237.040615,6.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,320,1780934473.9658084,0.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,321,1780934474.5828452,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,322,1780934475.2962816,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,323,1780934475.7621365,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,324,1780934477.4269142,2.625
tensorboard,baseline,mean_reward,rewards/train/score/mean,325,1780934477.8476462,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,326,1780934478.5314672,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,327,1780934479.0547001,6.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,328,1780934479.5736842,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,329,1780934480.125509,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,330,1780934480.404046,7.25
