run,metric,step,value
course-baseline-001,train score mean,709,3.0
course-baseline-001,train score mean,710,7.25
course-baseline-001,train score mean,711,7.25
course-baseline-001,train score mean,712,9.5
course-baseline-001,train score mean,713,4.5
course-baseline-001,train score mean,714,4.5
course-baseline-001,train score mean,715,4.5
course-baseline-001,train score mean,716,4.75
course-baseline-001,train score mean,717,7.25
course-baseline-001,train score mean,718,6.0
course-baseline-001,train score mean,719,4.0
course-baseline-001,train score mean,720,10.0
course-baseline-001,train score mean,721,3.625
course-baseline-001,train score mean,722,10.0
course-baseline-001,train score mean,723,3.0
course-baseline-001,train score mean,724,4.75
course-baseline-001,train score mean,725,4.5
course-baseline-001,train score mean,726,4.75
course-baseline-001,train score mean,727,4.5
course-baseline-001,train score mean,728,4.5
course-baseline-001,train score mean,729,2.0
